Datum;Etagen
28.12.18 12:23;3.0
28.12.18 15:26;2.0
29.12.18 09:47;2.0
29.12.18 10:07;1.0
29.12.18 12:17;1.0
29.12.18 20:38;2.0
31.12.18 15:26;1.0
31.12.18 15:32;2.0
31.12.18 18:42;1.0
31.12.18 22:26;2.0
02.01.19 08:50;2.0
02.01.19 08:55;1.0
02.01.19 14:25;2.0
02.01.19 16:27;3.0
02.01.19 17:42;4.0
03.01.19 12:56;2.0
04.01.19 12:55;2.0
05.01.19 09:01;2.0
05.01.19 13:11;2.0
05.01.19 16:42;2.0
08.01.19 16:36;1.0
08.01.19 16:53;1.0
08.01.19 18:37;1.0
10.01.19 09:21;5.0
10.01.19 11:07;1.0
10.01.19 11:30;1.0
10.01.19 15:59;1.0
10.01.19 19:50;3.0
15.01.19 09:06;3.0
15.01.19 12:03;1.0
15.01.19 13:19;1.0
18.01.19 09:55;2.0
18.01.19 12:49;2.0
18.01.19 14:59;2.0
18.01.19 15:56;2.0
18.01.19 18:49;2.0
19.01.19 15:57;2.0
20.01.19 15:00;2.0
21.01.19 08:35;1.0
21.01.19 08:52;2.0
21.01.19 13:41;1.0
21.01.19 20:36;3.0
24.01.19 12:21;2.0
26.01.19 14:37;2.0
26.01.19 19:08;2.0
06.02.19 07:34;1.0
06.02.19 07:40;2.0
06.02.19 16:09;3.0
08.02.19 13:16;2.0
08.02.19 14:51;1.0
08.02.19 15:02;3.0
12.02.19 09:06;1.0
12.02.19 09:13;2.0
12.02.19 09:33;3.0
12.02.19 14:23;1.0
12.02.19 22:54;4.0
14.02.19 08:04;1.0
14.02.19 17:29;1.0
14.02.19 17:29;2.0
15.02.19 05:59;2.0
17.02.19 13:12;2.0
17.02.19 13:57;3.0
18.02.19 18:20;2.0
19.02.19 10:33;2.0
19.02.19 10:46;4.0
19.02.19 11:44;1.0
19.02.19 19:06;2.0
20.02.19 21:39;2.0
21.02.19 12:32;2.0
21.02.19 17:51;2.0
21.02.19 17:59;2.0
22.02.19 07:42;1.0
22.02.19 07:45;2.0
22.02.19 11:15;1.0
22.02.19 17:15;6.0
02.03.19 10:19;2.0
02.03.19 10:26;2.0
02.03.19 15:07;2.0
03.03.19 16:46;1.0
04.03.19 07:46;3.0
04.03.19 08:53;2.0
04.03.19 10:44;2.0
04.03.19 14:46;1.0
05.03.19 07:52;2.0
05.03.19 08:07;2.0
05.03.19 08:11;1.0
05.03.19 11:17;1.0
04.04.19 16:19;2.0
04.04.19 21:55;2.0
06.04.19 15:57;2.0
11.04.19 05:53;2.0
11.04.19 07:30;2.0
11.04.19 09:42;1.0
11.04.19 13:23;1.0
