day,Etagen
2018-12-28,5.0
2018-12-29,6.0
2018-12-31,6.0
2019-01-05,6.0
2019-01-06,7.0
2019-01-08,11.0
2019-01-10,14.0
2019-01-15,5.0
2019-01-18,10.0
2019-01-19,2.0
2019-01-20,2.0
2019-01-21,7.0
2019-01-24,2.0
2019-01-26,4.0
2019-02-01,12.0
2019-02-03,6.0
2019-02-05,1.0
2019-02-06,3.0
2019-02-10,12.0
2019-02-14,4.0
2019-02-15,2.0
2019-02-17,5.0
2019-02-18,2.0
2019-02-19,9.0
2019-02-20,2.0
2019-02-21,6.0
2019-02-22,10.0
2019-03-01,2.0
2019-03-03,1.0
2019-03-05,17.0
2019-03-08,6.0
2019-03-09,15.0
2019-03-10,16.0
2019-04-01,2.0
2019-04-03,8.0
2019-04-04,4.0
2019-04-05,3.0
2019-04-09,15.0
2019-04-11,15.0
2019-04-13,2.0
2019-04-15,8.0
2019-04-16,16.0
2019-04-17,7.0
2019-04-18,2.0
2019-04-19,10.0
2019-04-21,16.0
2019-04-22,2.0
2019-04-25,4.0
2019-04-26,3.0
2019-04-29,4.0
2019-04-30,6.0
2019-05-01,6.0
2019-05-03,6.0
2019-05-08,2.0
2019-05-09,11.0
2019-05-10,10.0
2019-05-11,10.0
2019-05-13,12.0
2019-05-21,5.0
2019-05-22,16.0
2019-05-27,11.0
2019-05-28,16.0
2019-06-02,6.0
2019-06-04,2.0
2019-06-05,10.0
2019-06-06,2.0
2019-06-11,9.0
2019-06-12,11.0
2019-07-05,17.0
2019-07-08,12.0
2019-07-11,11.0
2019-07-13,4.0
2019-07-14,2.0
2019-07-17,6.0
2019-07-19,4.0
2019-07-20,4.0
2019-07-21,2.0
2019-07-30,3.0
2019-08-01,3.0
2019-08-02,6.0
2019-08-05,2.0
2019-08-09,2.0
2019-08-11,5.0
2019-08-13,1.0
2019-08-16,1.0
2019-08-17,2.0
2019-08-22,1.0
2019-08-26,4.0
2019-08-27,2.0
2019-08-28,3.0
2019-08-29,6.0
2019-08-30,5.0
2019-09-05,8.0
2019-09-07,3.0
2019-09-09,3.0
2019-09-13,2.0
2019-09-16,4.0
2019-09-17,4.0
2019-09-22,1.0
2019-09-25,13.0
2019-09-26,12.0
2019-10-01,11.0
2019-10-05,4.0
2019-10-07,2.0
2019-10-10,5.0
2019-10-11,3.0
2019-10-12,21.0
2019-10-14,8.0
2019-10-17,8.0
2019-10-18,5.0
2019-10-21,15.0
2019-10-22,8.0
2019-10-23,13.0
2019-10-24,10.0
2019-10-27,1.0
2019-10-29,17.0
2019-11-04,6.0
2019-11-07,4.0
2019-11-09,4.0
2019-11-11,5.0
2019-11-12,23.0
2019-11-13,8.0
2019-11-14,6.0
2019-11-17,2.0
2019-11-18,7.0
2019-11-19,6.0
2019-11-20,13.0
2019-11-21,16.0
2019-11-22,10.0
2019-11-25,13.0
2019-11-26,10.0
2019-11-27,9.0
2019-11-28,15.0
2019-11-29,11.0
2019-11-30,3.0
2019-12-02,11.0
2019-12-04,9.0
2019-12-07,14.0
2019-12-08,3.0
2019-12-11,7.0
2019-12-16,11.0
2019-12-19,3.0
2019-12-20,3.0
2020-01-13,11.0
2020-01-14,14.0
2020-01-15,13.0
2020-01-16,4.0
2020-01-17,7.0
2020-01-19,1.0
2020-01-20,10.0
2020-01-21,19.0
2020-01-22,6.0
2020-01-26,2.0
2020-01-27,6.0
2020-01-28,10.0
2020-01-29,23.0
2020-01-31,5.0
2020-02-03,2.0
2020-02-13,9.0
2020-02-14,14.0
2020-02-19,4.0
2020-02-20,4.0
2020-02-21,2.0
2020-02-25,2.0
2020-02-27,9.0
2020-02-28,9.0
2020-03-03,2.0
2020-05-03,16.0
2020-06-03,12.0
2020-07-01,18.0
2020-08-01,17.0
2020-08-03,2.0
2020-10-01,12.0
2020-10-02,13.0
2020-12-02,11.0
